data,precipitazioni(mm),temperatura(°C)
2018/01/01,0.0,3.49
2018/01/02,10.0,3.16
2018/01/03,0.0,6.6
2018/01/04,0.0,0.0
2018/01/05,0.0,6.61
2018/01/06,0.0,4.4
2018/01/07,2.4,6.09
2018/01/08,0.6,7.47
2018/01/09,7.4,9.81
2018/01/10,0.2,9.92
2018/01/11,0.2,7.09
2018/01/12,1.4,7.05
2018/01/13,0.0,7.05
2018/01/14,0.2,4.45
2018/01/15,0.0,0.71
2018/01/16,0.4,2.97
2018/01/17,0.0,4.17
2018/01/18,0.2,4.72
2018/01/19,0.0,5.53
2018/01/20,0.0,5.37
2018/01/21,0.0,3.83
2018/01/22,0.0,6.63
2018/01/23,0.0,5.21
2018/01/24,0.0,5.12
2018/01/25,0.0,6.16
2018/01/26,0.0,6.17
2018/01/27,2.2,6.43
2018/01/28,1.2,7.27
2018/01/29,0.2,3.14
2018/01/30,0.4,2.9
2018/01/31,0.2,3.23
2018/02/01,2.4,5.68
2018/02/02,0.4,6.79
2018/02/03,0.6,6.91
2018/02/04,0.0,5.3
2018/02/05,0.2,2.92
2018/02/06,4.8,5.12
2018/02/07,5.8,3.59
2018/02/08,0.6,4.33
2018/02/09,0.0,5.87
2018/02/10,0.0,6.92
2018/02/11,2.4,5.88
2018/02/12,0.0,5.65
2018/02/13,0.8,5.18
2018/02/14,1.4,4.52
2018/02/15,0.0,4.36
2018/02/16,0.0,3.32
2018/02/17,0.0,5.6
2018/02/18,0.2,5.53
2018/02/19,0.6,5.36
2018/02/20,0.0,5.06
2018/02/21,0.0,3.87
2018/02/22,0.0,5.49
2018/02/23,6.6,3.08
2018/02/24,9.0,2.11
2018/02/25,2.4,5.88
2018/02/26,0.4,0.74
2018/02/27,0.0,-1.63
2018/02/28,0.0,-1.84
2018/03/01,0.0,-1.53
2018/03/02,0.2,-2.06
2018/03/03,1.6,-0.8
2018/03/04,9.0,-0.03
2018/03/05,8.8,1.05
2018/03/06,9.2,3.02
2018/03/07,4.4,5.65
2018/03/08,0.0,5.07
2018/03/09,0.2,8.09
2018/03/10,0.0,10.37
2018/03/11,0.4,9.9
2018/03/12,7.8,8.72
2018/03/13,3.2,9.3
2018/03/14,0.0,11.77
2018/03/15,0.0,12.09
2018/03/16,14.2,8.92
